,title,urlToImage
0,President says first lady Jill Biden was Obama's VP in latest gaffe - New York Post ,https://nypost.com/wp-content/uploads/sites/2/2022/04/bidens-769.jpg?quality=75&strip=all&w=1024
1,Duke-UNC Lived Up to the Bill—Even If Coach K’s Final Performance Didn’t - The Ringer,https://cdn.vox-cdn.com/thumbor/6qXnCNCkXZVJU_Tc3uh1L3kr_4Q=/0x0:4017x2103/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23364152/1389231427.jpg
2,"Frank Gore intends to retire with 49ers, join San Francisco front office - NFL.com",https://static.www.nfl.com/image/private/t_editorial_landscape_12_desktop/league/b1u29zz1chqdavq1ivdn
3,Bodies of 'executed people' strewn across street in Bucha as Ukraine accuses Russia of war crimes - CNN,https://cdn.cnn.com/cnnnext/dam/assets/220402222200-bucha-ukraine-040222-super-tease.jpg
4,Airlines cancel hundreds of weekend flights as thunderstorms sweep through Florida - CNBC,https://image.cnbcfm.com/api/v1/image/106958733-16340395402021-10-12t012252z_909114992_rc2z7q9ocjfu_rtrmadp_0_usa-airlines-southwest.jpeg?v=1634039587&w=1920&h=1080
5,"'Scene from a horror movie': Russian retreat reveals devastation, death in Ukraine's streets. Live updates. - USA TODAY","https://www.gannett-cdn.com/presto/2022/04/03/USAT/6d3c3414-bcaf-4c29-bb69-87a9dfef44d2-AP_APTOPIX_Russia_Ukraine_War.jpg?crop=5499,3094,x0,y0&width=3200&height=1680&fit=bounds"
6,Russia invades Ukraine: Live updates - CNN,https://cdn.cnn.com/cnnnext/dam/assets/220402222200-bucha-ukraine-040222-super-tease.jpg
7,Imran Khan Live Updates: Pakistan Parliament News and the Latest - The New York Times,https://static01.nyt.com/images/2022/04/03/world/03pakistan-khan-header/03pakistan-khan-header-facebookJumbo.jpg
8,Man in Germany gets 90 COVID-19 shots to sell forged passes - The Associated Press,https://storage.googleapis.com/afs-prod/media/26a70514c0fe401c8532a5322b0e7b03/3000.jpeg
9,"Downtown Sacramento Shooting: 6 dead, at least 10 injured | Updates - ABC10.com KXTV",https://media.abc10.com/assets/KXTV/images/c8bfb4c7-5b93-497d-913e-91cc1f43787e/c8bfb4c7-5b93-497d-913e-91cc1f43787e_1140x641.jpg
10,Blasts heard in Russian city of Belgorod near border with Ukraine - Reuters.com,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=82
11,Senate Judiciary Committee to vote Monday on Ketanji Brown Jackson's nomination to Supreme Court - Fox News,https://static.foxnews.com/foxnews.com/content/uploads/2022/03/ketanji-brown-jackson-44.jpg
12,What to expect from 2022 Grammys and how to watch - The Washington Post,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/QBXJ22VRZUI6ZHN5BVDATVCMDQ.jpg&w=1440
13,Afghanistan's Taliban announce ban on poppy production - The Associated Press - en Español,https://storage.googleapis.com/afs-prod/media/7213204c9be2483c90deecc0b99c566f/3000.jpeg
14,"Social media platforms blocked in Sri Lanka amid curfew, opposition protest - Reuters.com",https://www.reuters.com/resizer/IFEO5xmnFGyK-ozk2LQLW5cERz4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/D63GPZJX45I4ZL6JAIS7O65R7Q.jpg
15,"NH looks to sell pot in state liquor stores, make millions. Marijuana growers fuming. - Seacoastonline.com","https://www.gannett-cdn.com/presto/2022/04/01/NPOH/cd6574ee-3c30-424a-af81-5db0725b18d8-nhliquorstore-1536x1152.jpg?auto=webp&crop=1535,864,x0,y0&format=pjpg&width=1200"
16,Full WrestleMania Saturday 2022 highlights (WWE Network Exclusive) - WWE,https://i.ytimg.com/vi/hFFIc0bJal4/maxresdefault.jpg
17,"Actress Estelle Harris, 'Toy Story''s Mrs. Potato Head, dead at 93 - Fox News",https://static.foxnews.com/foxnews.com/content/uploads/2022/04/GettyImages-466550455.jpg
18,"Will Smith's Oscar Slap Barely Mentioned In 'SNL's Cold Open As NBC Show Triples Down On Fox News, “Disney Vs. America” & Trump - Deadline",https://deadline.com/wp-content/uploads/2022/04/snl-april-2-cold-open.jpeg?w=1024
19,2022 NCAA basketball championship game: UNC vs. Kansas set for national title as March Madness concludes - CBS Sports,https://sportshub.cbsistatic.com/i/r/2022/04/03/c4c04265-2764-41c3-a544-5a6cba694709/thumbnail/1200x675/fd985346f655ce28fe811ab4711cbf88/heels.jpg
